showId,name,contents,address,price,totalSeats,startDateTime,category,managerId
9f360ae6-b58d-4537-b4da-d592569c0a33,Show 1,Contents for Show 1,Address 1,1000,100,2024-11-30T10:03:22.130869900,ETC,bfc97bea-11de-4631-8fca-4807059a818e
a0ac481d-fac4-4e6d-9693-4816b976d16a,Show 2,Contents for Show 2,Address 2,2000,100,2024-12-01T10:03:22.134381700,ETC,8de70548-b758-4ce0-8a37-5bcdb6bcd0fc
1c906232-6816-4fad-a108-2c0993fd7fe0,Show 3,Contents for Show 3,Address 3,3000,100,2024-12-02T10:03:22.134381700,ETC,572116e6-8177-46e7-a553-b2cfd32f9321
c250ea84-51fb-47ac-bb57-e5846eff56b2,Show 4,Contents for Show 4,Address 4,4000,100,2024-12-03T10:03:22.134381700,ETC,2d5f9725-7f3d-4717-bcbb-20664b72e72e
0ab82fcc-9d90-4379-81a1-5d60b70cb445,Show 5,Contents for Show 5,Address 5,5000,100,2024-12-04T10:03:22.134381700,ETC,b5c8af78-5c1b-4433-bb3d-547e8df110be
77c8db1d-42ad-4327-860e-fbf3739ae41a,Show 6,Contents for Show 6,Address 6,6000,100,2024-12-05T10:03:22.134381700,ETC,582b20ef-e7cd-47e1-ad4d-ba75f3d6aa7a
b2772a85-f632-487f-9407-74b05b7ec4f2,Show 7,Contents for Show 7,Address 7,7000,100,2024-12-06T10:03:22.134381700,ETC,e098a728-7178-4f33-9fa6-889ce2ea501f
f3d5e714-63bc-42a5-b390-564d39bb99f7,Show 8,Contents for Show 8,Address 8,8000,100,2024-12-07T10:03:22.134381700,ETC,48acf9ee-6dae-4c23-bf2b-a6e26bb5aff9
a78f4202-ce5e-4f03-9e62-239ab7def013,Show 9,Contents for Show 9,Address 9,9000,100,2024-12-08T10:03:22.134381700,ETC,d5aab50c-634b-44d0-b18f-1e93f832e78c
543aae5e-ddf7-418c-bc7c-e7455782cea3,Show 10,Contents for Show 10,Address 10,10000,100,2024-12-09T10:03:22.134381700,ETC,04453a16-b02c-4b75-8da1-23b9a431d010
814d580b-ed90-4ecd-a4c4-e2b765be3393,Show 11,Contents for Show 11,Address 11,11000,100,2024-12-10T10:03:22.134381700,ETC,abd3f1c0-c01d-42b5-9dbe-b587119cea6b
42c193bc-9461-450f-a1d1-82f69ddf75f1,Show 12,Contents for Show 12,Address 12,12000,100,2024-12-11T10:03:22.134381700,ETC,d5aab50c-634b-44d0-b18f-1e93f832e78c
91fb1b7f-f70d-4035-9c53-3db60aaba76d,Show 13,Contents for Show 13,Address 13,13000,100,2024-12-12T10:03:22.134381700,ETC,a9031468-aa4c-4d2b-8417-d7b930608add
98f50252-3724-475e-8cd1-4f72e130f1d3,Show 14,Contents for Show 14,Address 14,14000,100,2024-12-13T10:03:22.134381700,ETC,5cf2f075-a670-4091-85bd-4b62c45e50c8
9c43a533-be4f-4f4c-87dd-d04da8156d74,Show 15,Contents for Show 15,Address 15,15000,100,2024-12-14T10:03:22.134381700,ETC,a430a5d5-1293-4238-b931-c98bb5bda7bc
8b986ea0-14ca-4b48-82b7-e1de5c52c4f6,Show 16,Contents for Show 16,Address 16,16000,100,2024-12-15T10:03:22.134381700,ETC,58fa0d03-9641-424f-8bd7-b852f3b57de8
3c59ae0e-15a6-4ed0-ae0f-a4d0dab82efc,Show 17,Contents for Show 17,Address 17,17000,100,2024-12-16T10:03:22.134381700,ETC,edb00d10-1ebe-4d1d-a3fa-b40d539bd1e6
f0adbeb8-84a5-430a-a521-307ecf27be59,Show 18,Contents for Show 18,Address 18,18000,100,2024-12-17T10:03:22.134381700,ETC,3e8eaaba-d945-4ef0-88e9-ef8e6facf7ce
d48f841c-a6d8-48a8-8538-58fe63dc442b,Show 19,Contents for Show 19,Address 19,19000,100,2024-12-18T10:03:22.134381700,ETC,37022746-70ac-4347-97b3-ddde03834c8d
5b128f66-5f44-4be7-a404-2ea328e4b8ff,Show 20,Contents for Show 20,Address 20,20000,100,2024-12-19T10:03:22.134381700,ETC,c1c9babb-f45b-4af8-a853-19da2af11ba1
e13fea09-c69f-4027-8943-3d47d18b935c,Show 21,Contents for Show 21,Address 21,21000,100,2024-12-20T10:03:22.134381700,ETC,c0b7d62b-b7f6-4d80-b2a5-7d46c9bdeff4
3f07dc52-f75a-4220-b3b1-817b713f5dc8,Show 22,Contents for Show 22,Address 22,22000,100,2024-12-21T10:03:22.134381700,ETC,22cb99fc-8655-4fa1-883e-b1f08db5872e
